"Symbol","ListedDate","ListedYear","ABSymbol","HSymbol","EstablishDate","IpoDate","CompanyListedDate","IsIPO","TotalShares","IssuePrice","CurrencyCode","ClosePrice","ReturnRate","TurnoverRate1","TurnoverRate2","PE","PB"
"600120","1997-12-01","1997","","","1992-12-15","1997-11-12","1997-12-01","A","10500000","7.5600","CNY","23.180","2.066138","0.19746","0.78984","46.53","6.69"
"600121","1998-01-07","1998","","","1996-01-08","1997-10-28","1998-01-07","A","80000000","5.5000","CNY","12.100","1.200000","0.16855","0.70229","31.59","18.54"
"600122","1998-04-20","1998","","","1998-04-16","1998-03-27","1998-04-20","A","50000000","6.6100","CNY","24.830","2.756430","0.25570","0.69892","87.25","23.45"
"600123","1998-12-17","1998","","","1998-12-08","1998-11-12","1998-12-17","A","80000000","4.1200","CNY","6.880","0.669903","0.18121","0.65121","42.59","10.53"
"600125","1998-05-11","1998","","","1993-02-16","1998-04-16","1998-05-11","A","25000000","6.8400","CNY","23.340","2.412281","0.16330","0.62306","72.98","10.88"
"600126","1998-03-11","1998","","","1998-02-26","1998-02-12","1998-03-11","A","85000000","6.4500","CNY","6.880","0.066667","0.08939","0.46742","22.57","5.74"
"600127","1998-05-06","1998","","","1998-04-22","1998-04-08","1998-05-06","A","50000000","5.3000","CNY","17.050","2.216981","0.20101","0.67004","68.15","17.63"
"600128","1997-09-01","1997","","","1994-06-30","1997-08-15","1997-09-01","A","35000000","6.7700","CNY","12.780","0.887740","0.17807","0.59266","45.29","11.67"
"600129","1997-11-18","1997","","","1993-12-28","1997-10-22","1997-11-18","A","50000000","7.0000","CNY","13.950","0.992857","0.15402","0.66744","50.40","12.42"
"600130","2000-07-06","2000","","","1995-07-27","2000-06-19","2000-07-06","A","40000000","16.0000","CNY","35.050","1.190625","0.06260","0.62602","116.57","36.36"
"600131","1998-04-02","1998","","","1993-12-31","1998-03-11","1998-04-02","A","35000000","5.2500","CNY","15.650","1.980952","0.18041","0.71196","54.52","12.81"
"600132","1997-10-30","1997","","","1993-12-23","1997-10-10","1997-10-30","A","40000000","5.5400","CNY","12.120","1.187726","0.13666","0.59599","38.79","8.35"
"600133","1998-02-12","1998","","","1993-03-19","1998-01-08","1998-02-12","A","40000000","4.5000","CNY","15.490","2.442222","0.16523","0.73437","86.05","12.70"
"600135","1998-01-22","1998","","","1998-01-16","1997-12-26","1998-01-22","A","70000000","6.4200","CNY","12.290","0.914330","0.19991","0.60290","45.11","16.68"
"600136","1998-03-03","1998","","","1992-10-30","1998-02-18","1998-03-03","A","25000000","5.2900","CNY","13.480","1.548204","0.19500","0.74102","43.69","11.83"
"600137","1998-04-16","1998","","","1998-12-28","1988-12-01","1998-04-16","A","14500000","1.0000","CNY","18.450","17.450000","0.24815","0.86583","94.17","9.61"
"600138","1997-12-03","1997","","","1997-11-26","1997-11-14","1997-12-03","A","60000000","6.5700","CNY","11.300","0.719939","0.14227","0.42155","43.83","17.11"
"600139","1998-02-25","1998","","","1988-09-21","1988-12-01","1998-02-25","A","21000000","2.0000","CNY","13.020","5.510000","0.24354","0.62964","44.75","4.57"
"600141","1999-06-16","1999","","","1994-08-17","1999-05-13","1999-06-16","A","40000000","4.7000","CNY","11.400","1.425532","0.16623","0.66493","45.82","8.53"
"600143","2004-06-23","2004","","","2001-10-08","2004-06-08","2004-06-23","A","45000000","10.9300","CNY","16.260","0.487649","0.13842","0.53830","30.76","9.10"
"600145","1999-09-23","1999","","","1998-09-28","1999-08-04","1999-09-23","A","45000000","4.0000","CNY","9.240","1.310000","0.22591","0.62753","68.02","9.18"
"600146","1999-07-07","1999","","","1999-06-29","1999-06-14","1999-07-07","A","60000000","3.9500","CNY","9.520","1.410127","0.17536","0.64950","54.93","12.50"
"600148","1998-05-20","1998","","","1998-05-07","1998-04-16","1998-05-20","A","20000000","4.7700","CNY","13.250","1.777778","0.14675","0.61006","85.18","10.99"
"600149","1999-10-14","1999","","","1993-08-17","1999-08-04","1999-10-14","A","45000000","5.4800","CNY","8.900","0.624088","0.13312","0.50230","36.25","7.01"
"600150","1998-05-20","1998","","","1998-05-12","1998-04-20","1998-05-20","A","70000000","3.8300","CNY","7.650","0.997389","0.18636","0.64940","37.06","8.47"
