month,MarketR,MarketR_e,rfmonth,ret,ret_e,marketret3,marketret6,marketret12,ipor,pd,l.pd,l.ipor
2010.33333333333,-0.083202,-0.082809,0.001856,-0.085058,-0.084665,-0.0554549402951661,0.092479866982031,0.0421027737148054,0.117274461538462,4.5633166936126,5.11469336934075,0.7136748643752
2010.41666666667,-0.076277,-0.091289,0.001856,-0.078133,-0.093145,0.0574750582519221,0.140105515434936,0.0682188770573804,0.242801987180214,4.22083366458035,4.5633166936126,0.117274461538462
2010.5,0.121927,0.148569,0.001856,0.120071,0.146713,0.157704791263155,0.22407752122909,0.186012574484558,0.238571308,4.22941797505704,4.22083366458035,0.242801987180214
2010.58333333333,0.025767,0.089771,0.001856,0.023911,0.087915,0.156030836832687,0.0669711928198322,0.0417772995788466,0.7829309437166,4.26534479216341,4.22941797505704,0.238571308
2010.66666666667,0.010816,0.008997,0.001856,0.00896,0.007141,0.0774124017469327,0.0951961016215377,-0.0340915898785562,0.523817710924408,4.27681377005163,4.26534479216341,0.7829309437166
2010.75,0.120389,0.094603,0.00193496774193548,0.118454032258065,0.0926680322580645,0.0562285155999276,0.0852314737917659,-0.133068847179779,0.311211607764354,4.41865446042243,4.27681377005163,0.523817710924408
2010.83333333333,-0.043472,0.014543,0.00206,-0.045532,0.012483,-0.0775284157782592,-0.0468159330332687,-0.195589881093937,0.504916528334414,4.49934370849614,4.41865446042243,0.311211607764354
2010.91666666667,-0.008723,-0.020313,0.00209929032258065,-0.0108222903225806,-0.0224122903225806,0.0159317044749225,-0.0642041981973265,-0.202717366021551,0.633421075675676,4.51528579741066,4.49934370849614,0.504916528334414
2011,-0.02033,-0.053785,0.002263,-0.022593,-0.056048,0.0269224832765582,-0.0335590577952226,-0.256940117038703,0.0606047431053871,4.50765506888147,4.51528579741066,0.633421075675676
2011.08333333333,0.053127,0.094811,0.002408,0.050719,0.092403,0.0336913091978901,-0.0243265580808215,-0.215307960097512,0.199940000900857,4.57215698366782,4.50765506888147,0.0606047431053871
2011.16666666667,0.002287,-0.010777,0.002466,-0.000179,-0.013243,-0.0784772276975626,-0.118094261671082,-0.201807047746714,0.15092164516129,4.57275984233488,4.57215698366782,0.199940000900857
